"","Precinct","YEAR2","MaxForce","ViolentCrimeFrequency","FelonyFrequency","CrimeSeverity","ForceSeverity","MajorityWhite","MajorityHispanic","MajorityBlack","IsNight","HistoricalDanger","ActualDanger","Arrests","ExplanationGiven","StopDuration","ObsDuration","SQFPropBlack","SQFPropHispanic","pct_blk","pct_hisp"
"198",108,2019,0.24390243902439,0.378048780487805,0.451219512195122,3.03658536585366,2.25609756097561,"N","N","N",0.609756097560976,0.341463414634146,0.134146341463415,0.390243902439024,0.939024390243902,13.9634146341463,2.09756097560976,0.170731707317073,0.646341463414634,0.0259452296819788,0.346351590106007
"199",109,2017,0.146341463414634,0.292682926829268,0.544715447154472,2.99186991869919,2.1869918699187,"N","N","N",0.59349593495935,0.317073170731707,0.0894308943089431,0.130081300813008,1,13.9024390243902,2.11382113821138,0.32520325203252,0.528455284552846,0.0266662354358531,0.166417361352555
"200",109,2018,0.237113402061856,0.45360824742268,0.309278350515464,2.97938144329897,2.19587628865979,"N","N","N",0.525773195876289,0.443298969072165,0.0721649484536082,0.237113402061856,1,13.0309278350515,1.49484536082474,0.247422680412371,0.329896907216495,0.0266662354358531,0.166417361352555
"201",109,2019,0.292857142857143,0.278571428571429,0.421428571428571,2.67857142857143,2.38571428571429,"N","N","N",0.464285714285714,0.271428571428571,0.135714285714286,0.385714285714286,0.921428571428571,15.2214285714286,17.35,0.271428571428571,0.385714285714286,0.0266662354358531,0.166417361352555
"202",110,2017,0.215384615384615,0.476923076923077,0.338461538461538,3.15384615384615,2.24615384615385,"N","Y","N",0.592307692307692,0.423076923076923,0.176923076923077,0.5,0.969230769230769,11.5538461538462,89.0923076923077,0.246153846153846,0.715384615384615,0.0661920595016045,0.523153028951423
"203",110,2018,0.173913043478261,0.536231884057971,0.297101449275362,3.26811594202899,2.18115942028985,"N","Y","N",0.63768115942029,0.369565217391304,0.231884057971014,0.514492753623188,0.963768115942029,13.7826086956522,16.8695652173913,0.130434782608696,0.731884057971015,0.0661920595016045,0.523153028951423
"204",110,2019,0.17032967032967,0.357142857142857,0.450549450549451,2.98351648351648,2.2032967032967,"N","Y","N",0.516483516483517,0.302197802197802,0.142857142857143,0.373626373626374,0.93956043956044,11.9120879120879,2.55494505494505,0.164835164835165,0.675824175824176,0.0661920595016045,0.523153028951423
"205",111,2017,0.206349206349206,0.349206349206349,0.555555555555556,3.17460317460317,2.20634920634921,"Y","N","N",0.587301587301587,0.206349206349206,0.158730158730159,0.380952380952381,1,11.6666666666667,2.07936507936508,0.26984126984127,0.365079365079365,0.0226142522180519,0.100282570793002
"206",111,2018,0.128712871287129,0.247524752475248,0.445544554455446,2.72277227722772,2.14851485148515,"Y","N","N",0.455445544554455,0.207920792079208,0.099009900990099,0.267326732673267,1,13.8811881188119,2.28712871287129,0.217821782178218,0.237623762376238,0.0226142522180519,0.100282570793002
"207",111,2019,0.185185185185185,0.234567901234568,0.506172839506173,2.71604938271605,2.24691358024691,"Y","N","N",0.481481481481481,0.197530864197531,0.0740740740740741,0.358024691358025,1,11.283950617284,1.67901234567901,0.283950617283951,0.308641975308642,0.0226142522180519,0.100282570793002
