"","Precinct","MaxForce","ViolentCrimeFrequency","FelonyFrequency","CrimeSeverity","ForceSeverity","MajorityWhite","MajorityHispanic","MajorityBlack","IsNight","HistoricalDanger","ActualDanger","Arrests","ExplanationGiven","StopDuration","ObsDuration","StoppedMajorityRace"
"1",1,0.341637010676157,0.309608540925267,0.323843416370107,2.57651245551601,2.35943060498221,"Y","N","N",0.498220640569395,0.124555160142349,0.099644128113879,0.323843416370107,0.97153024911032,17.5800711743772,9.01067615658363,"BLACK"
"2",5,0.221052631578947,0.32280701754386,0.445614035087719,2.87368421052632,2.2280701754386,"N","N","N",0.547368421052632,0.108771929824561,0.12280701754386,0.343859649122807,0.985964912280702,12.5859649122807,9.62456140350877,"BLACK"
"3",6,0.211920529801325,0.364238410596026,0.400662251655629,2.90397350993377,2.22516556291391,"Y","N","N",0.526490066225166,0.245033112582781,0.162251655629139,0.440397350993377,0.980132450331126,14.5860927152318,7.29139072847682,"BLACK"
"4",7,0.243037974683544,0.356962025316456,0.488607594936709,3.06329113924051,2.25569620253165,"N","N","N",0.658227848101266,0.248101265822785,0.162025316455696,0.377215189873418,0.989873417721519,11.0936708860759,10.5316455696203,"BLACK"
"5",9,0.201834862385321,0.293577981651376,0.545871559633027,3.00229357798165,2.21559633027523,"Y","N","N",0.642201834862385,0.291284403669725,0.204128440366972,0.394495412844037,0.970183486238532,12.0573394495413,27.9197247706422,"BLACK"
"6",10,0.284671532846715,0.281021897810219,0.470802919708029,2.81021897810219,2.30656934306569,"Y","N","N",0.697080291970803,0.208029197080292,0.14963503649635,0.361313868613139,0.981751824817518,12.1094890510949,2.06204379562044,"BLACK"
"7",13,0.230496453900709,0.281914893617021,0.5,2.85106382978723,2.23758865248227,"Y","N","N",0.443262411347518,0.136524822695035,0.301418439716312,0.471631205673759,0.976950354609929,11.7996453900709,10.6063829787234,"BLACK"
"8",14,0.269461077844311,0.338323353293413,0.410179640718563,2.89221556886228,2.27245508982036,"Y","N","N",0.595808383233533,0.224550898203593,0.149700598802395,0.248502994011976,0.991017964071856,13.1586826347305,4.83532934131737,"BLACK"
"9",17,0.308943089430894,0.382113821138211,0.292682926829268,2.7479674796748,2.30894308943089,"Y","N","N",0.552845528455285,0.292682926829268,0.130081300813008,0.479674796747967,0.951219512195122,11.8373983739837,10.7560975609756,"BLACK"
"10",18,0.259146341463415,0.378048780487805,0.323170731707317,2.78658536585366,2.2530487804878,"Y","N","N",0.533536585365854,0.189024390243902,0.103658536585366,0.323170731707317,0.975609756097561,15.1798780487805,2.75,"BLACK"
"11",19,0.252396166134185,0.228434504792332,0.300319488817891,2.28594249201278,2.2555910543131,"Y","N","N",0.578274760383387,0.137380191693291,0.113418530351438,0.408945686900958,0.982428115015974,14.1805111821086,16.7252396166134,"BLACK"
"12",20,0.264492753623188,0.210144927536232,0.228260869565217,2.09782608695652,2.27173913043478,"Y","N","N",0.521739130434783,0.210144927536232,0.159420289855072,0.471014492753623,0.945652173913043,10.3369565217391,2.72101449275362,"BLACK"
"13",22,0.147368421052632,0.673684210526316,0.136842105263158,3.29473684210526,2.14736842105263,"N","N","Y",0.589473684210526,0.242105263157895,0.0315789473684211,0.252631578947368,0.957894736842105,12.0315789473684,2.22105263157895,"BLACK"
"14",23,0.161228406909789,0.300383877159309,0.485604606525912,2.90499040307102,2.16890595009597,"N","Y","N",0.524952015355086,0.36852207293666,0.171785028790787,0.259117082533589,0.986564299424184,8.81861804222649,9.42898272552783,"BLACK"
"15",24,0.228301886792453,0.228301886792453,0.420754716981132,2.53584905660377,2.25283018867925,"Y","N","N",0.645283018867924,0.262264150943396,0.145283018867925,0.367924528301887,0.986792452830189,10.111320754717,17.6735849056604,"BLACK"
"16",25,0.187772925764192,0.323144104803493,0.462882096069869,2.93595342066958,2.20087336244541,"N","N","N",0.566229985443959,0.328966521106259,0.132459970887918,0.256186317321689,0.986899563318777,10.5793304221252,6.78457059679767,"BLACK"
"17",26,0.253731343283582,0.283582089552239,0.436567164179104,2.74626865671642,2.27611940298507,"N","N","N",0.619402985074627,0.238805970149254,0.208955223880597,0.455223880597015,0.98134328358209,10.5037313432836,111.876865671642,"BLACK"
"18",28,0.242788461538462,0.298076923076923,0.543269230769231,2.99759615384615,2.28365384615385,"N","N","Y",0.576923076923077,0.264423076923077,0.122596153846154,0.269230769230769,0.990384615384615,10.4591346153846,7.40144230769231,"BLACK"
